Text,People,Organizations,Locations,Date,Event,Domain,clean_text,processed_text
"A famous painting by Ludwig van Beethoven is housed in Metropolitan Opera in Paris, France.",Ludwig van Beethoven,Metropolitan Opera,"Paris, France",1543-01-26,painting,Arts,a famous painting by ludwig van beethoven is housed in metropolitan opera in paris france,famous painting ludwig van beethoven housed metropolitan opera paris france
"Rachel Carson led trials of irrigation technique adoption in Lima, Peru.",Rachel Carson,ICAR,"Lima, Peru",1868-09-01,irrigation technique adoption,Agriculture,rachel carson led trials of irrigation technique adoption in lima peru,rachel carson led trial irrigation technique adoption lima peru
"Farmers in Punjab, India adopted yield improvement study developed by International Rice Research Institute.",Wangari Maathai,International Rice Research Institute,"Punjab, India",1770-01-31,yield improvement study,Agriculture,farmers in punjab india adopted yield improvement study developed by international rice research institute,farmer punjab india adopted yield improvement study developed international rice research institute
"Kamala Harris met leaders from European Union in Washington, USA to discuss summit.",Kamala Harris,European Union; Parliament,"Washington, USA",1520-01-26,summit,Politics,kamala harris met leaders from european union in washington usa to discuss summit,kamala harris met leader european union washington usa discus summit
Grace Hopper announced a new AI-driven sensors at Intel.,Grace Hopper,Intel,"Shenzhen, China",1925-04-25,AI-driven sensors,Technology,grace hopper announced a new aidriven sensors at intel,grace hopper announced new aidriven sensor intel
"Pablo Picasso premiered a symphony at Paris, France.",Pablo Picasso,Tate Modern,"Paris, France",1873-06-26,symphony,Arts,pablo picasso premiered a symphony at paris france,pablo picasso premiered symphony paris france
A study on gene sequencing led by Jane Goodall was published on 1749-01-26.,Jane Goodall,Max Planck Institute,"Geneva, Switzerland",1749-01-26,gene sequencing,Science,a study on gene sequencing led by jane goodall was published on,study gene sequencing led jane goodall published
Indra Nooyi became CEO of Samsung following the merger.,Indra Nooyi,Samsung,"Frankfurt, Germany",1826-03-08,merger,Business,indra nooyi became ceo of samsung following the merger,indra nooyi became ceo samsung following merger
"Sundar Pichai led the launch of a quantum computing in Stockholm, Sweden.",Sundar Pichai,OpenAI,"Stockholm, Sweden",1745-09-30,quantum computing,Technology,sundar pichai led the launch of a quantum computing in stockholm sweden,sundar pichai led launch quantum computing stockholm sweden
"Angela Merkel met leaders from European Union in Washington, USA to discuss policy announcement.",Angela Merkel,European Union,"Washington, USA",1716-05-08,policy announcement,Politics,angela merkel met leaders from european union in washington usa to discuss policy announcement,angela merkel met leader european union washington usa discus policy announcement
"Marissa Mayer led the launch of a robotics in Shenzhen, China.",Marissa Mayer,Google,"Shenzhen, China",1534-04-11,robotics,Technology,marissa mayer led the launch of a robotics in shenzhen china,marissa mayer led launch robotics shenzhen china
FC Barcelona announced a new final match for 2022-2023.,M.S. Dhoni,FC Barcelona,"Madrid, Spain",1604-06-16,final match,Sports,fc barcelona announced a new final match for,fc barcelona announced new final match
"Farmers in Nairobi, Kenya adopted yield improvement study developed by ICAR.",George Washington Carver,ICAR,"Nairobi, Kenya",1912-05-06,yield improvement study,Agriculture,farmers in nairobi kenya adopted yield improvement study developed by icar,farmer nairobi kenya adopted yield improvement study developed icar
"Farmers in Nairobi, Kenya adopted yield improvement study developed by CIMMYT.",Wangari Maathai,CIMMYT,"Nairobi, Kenya",1691-04-17,yield improvement study,Agriculture,farmers in nairobi kenya adopted yield improvement study developed by cimmyt,farmer nairobi kenya adopted yield improvement study developed cimmyt
Mary Barra became CEO of Samsung following the acquisition.,Mary Barra,Samsung,"Seoul, South Korea",1564-10-21,acquisition,Business,mary barra became ceo of samsung following the acquisition,mary barra became ceo samsung following acquisition
"Barack Obama announced policy changes regarding climate at Geneva, Switzerland.",Barack Obama,Parliament,"Geneva, Switzerland",1760-12-05,policy announcement,Politics,barack obama announced policy changes regarding climate at geneva switzerland,barack obama announced policy change regarding climate geneva switzerland
"Marissa Mayer led the launch of a AI-driven sensors in London, UK.",Marissa Mayer,Apple,"London, UK",1657-01-18,AI-driven sensors,Technology,marissa mayer led the launch of a aidriven sensors in london uk,marissa mayer led launch aidriven sensor london uk
Marie Curie published findings on particle discovery at CERN.,Marie Curie,CERN,"Geneva, Switzerland",1934-05-01,particle discovery,Science,marie curie published findings on particle discovery at cern,marie curie published finding particle discovery cern
"A bill passage was passed by Parliament impacting Washington, USA.",Barack Obama,Parliament,"Washington, USA",1512-07-27,bill passage,Politics,a bill passage was passed by parliament impacting washington usa,bill passage passed parliament impacting washington usa
Harvard University announced a gene sequencing that impacts physics.,Isaac Newton,Harvard University,"Cambridge, UK",1769-09-26,gene sequencing,Science,harvard university announced a gene sequencing that impacts physics,harvard university announced gene sequencing impact physic
"The Treaty signing took place in Berlin, Germany and involved Mughal Empire.",Nelson Mandela,Mughal Empire; British Empire,"Berlin, Germany",1839-01-24,Treaty signing,History,the treaty signing took place in berlin germany and involved mughal empire,treaty signing took place berlin germany involved mughal empire
Wimbledon announced a new season opener for 2022-2023.,Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1973-07-31,season opener,Sports,wimbledon announced a new season opener for,wimbledon announced new season opener
Reliance Industries acquired Goldman Sachs in a deal valued at $450M.,Sundar Pichai,Reliance Industries,"Frankfurt, Germany",1974-12-14,acquisition,Business,reliance industries acquired goldman sachs in a deal valued at m,reliance industry acquired goldman sachs deal valued
"Reliance Industries opened a new office in Mumbai, India to expand cloud services.",Sundar Pichai,Reliance Industries,"Mumbai, India",1772-05-11,restructuring,Business,reliance industries opened a new office in mumbai india to expand cloud services,reliance industry opened new office mumbai india expand cloud service
"Pablo Picasso premiered a installation at Paris, France.",Pablo Picasso,Royal Academy,"Paris, France",1961-07-31,installation,Arts,pablo picasso premiered a installation at paris france,pablo picasso premiered installation paris france
"Researchers at Harvard University reported a climate study in Cape Town, South Africa.",Jane Goodall,Harvard University; Max Planck Institute,"Cape Town, South Africa",1643-08-24,climate study,Science,researchers at harvard university reported a climate study in cape town south africa,researcher harvard university reported climate study cape town south africa
Jane Goodall published findings on field research at NASA.,Jane Goodall,NASA,"Cambridge, UK",1774-01-24,field research,Science,jane goodall published findings on field research at nasa,jane goodall published finding field research nasa
"The battle marked a turning point in Berlin, Germany's history.",Winston Churchill,Ottoman Empire,"Berlin, Germany",1971-08-27,battle,History,the battle marked a turning point in berlin germanys history,battle marked turning point berlin germany history
SpaceX released a edge computing that improves quantum computing.,Marissa Mayer,SpaceX,"Stockholm, Sweden",1799-09-02,edge computing,Technology,spacex released a edge computing that improves quantum computing,spacex released edge computing improves quantum computing
Nelson Mandela was a key figure in the expedition.,Nelson Mandela,Ottoman Empire,"Rome, Italy",1893-08-12,expedition,History,nelson mandela was a key figure in the expedition,nelson mandela key figure expedition
"The tournament in Madrid, Spain featured M.S. Dhoni and Wimbledon.",M.S. Dhoni; Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1519-11-14,tournament,Sports,the tournament in madrid spain featured ms dhoni and wimbledon,tournament madrid spain featured m dhoni wimbledon
Grace Hopper announced a new 5G networks at Apple.,Grace Hopper,Apple,"Shenzhen, China",1749-08-03,5G networks,Technology,grace hopper announced a new g networks at apple,grace hopper announced new g network apple
"The Treaty signing marked a turning point in Delhi, India's history.",Winston Churchill,Mughal Empire,"Delhi, India",1582-02-01,Treaty signing,History,the treaty signing marked a turning point in delhi indias history,treaty signing marked turning point delhi india history
"Narendra Modi announced policy changes regarding climate at Geneva, Switzerland.",Narendra Modi,Parliament,"Geneva, Switzerland",1500-06-27,summit,Politics,narendra modi announced policy changes regarding climate at geneva switzerland,narendra modi announced policy change regarding climate geneva switzerland
Siemens acquired Reliance Industries in a deal valued at $1.2B.,Mary Barra,Siemens,"Seoul, South Korea",1592-11-30,acquisition,Business,siemens acquired reliance industries in a deal valued at b,siemens acquired reliance industry deal valued b
A breakthrough in 5G networks was reported by SpaceX.,Sundar Pichai,SpaceX,"London, UK",1515-10-21,5G networks,Technology,a breakthrough in g networks was reported by spacex,breakthrough g network reported spacex
"Farmers in Punjab, India adopted yield improvement study developed by ICAR.",Wangari Maathai,ICAR,"Punjab, India",1514-12-01,yield improvement study,Agriculture,farmers in punjab india adopted yield improvement study developed by icar,farmer punjab india adopted yield improvement study developed icar
CERN announced a gene sequencing that impacts genetics.,Albert Einstein,CERN,"Cambridge, UK",1704-06-24,gene sequencing,Science,cern announced a gene sequencing that impacts genetics,cern announced gene sequencing impact genetics
A study on field research led by Marie Curie was published on 1882-10-03.,Marie Curie,CERN; NASA,"Geneva, Switzerland",1882-10-03,field research,Science,a study on field research led by marie curie was published on,study field research led marie curie published
"Angela Merkel announced policy changes regarding healthcare at Geneva, Switzerland.",Angela Merkel,European Union,"Geneva, Switzerland",1990-11-27,summit,Politics,angela merkel announced policy changes regarding healthcare at geneva switzerland,angela merkel announced policy change regarding healthcare geneva switzerland
"Marissa Mayer led the launch of a quantum computing in Silicon Valley, USA.",Marissa Mayer,IBM,"Silicon Valley, USA",1982-11-29,quantum computing,Technology,marissa mayer led the launch of a quantum computing in silicon valley usa,marissa mayer led launch quantum computing silicon valley usa
"A summit was passed by Parliament impacting New Delhi, India.",Narendra Modi,Parliament,"New Delhi, India",1648-09-26,summit,Politics,a summit was passed by parliament impacting new delhi india,summit passed parliament impacting new delhi india
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Narendra Modi,Congress,"New Delhi, India",1967-07-02,summit,Politics,narendra modi announced policy changes regarding healthcare at new delhi india,narendra modi announced policy change regarding healthcare new delhi india
"The coronation took place in Berlin, Germany and involved Ottoman Empire.",Winston Churchill,Ottoman Empire,"Berlin, Germany",1596-01-31,coronation,History,the coronation took place in berlin germany and involved ottoman empire,coronation took place berlin germany involved ottoman empire
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",George Washington Carver,AgriTech Ltd,"Punjab, India",1509-08-05,irrigation technique adoption,Agriculture,agritech ltd introduced a irrigation technique adoption to improve yields in punjab india,agritech ltd introduced irrigation technique adoption improve yield punjab india
NASA announced a field research that impacts biology.,Marie Curie,NASA,"Cambridge, UK",1911-07-13,field research,Science,nasa announced a field research that impacts biology,nasa announced field research impact biology
"The coronation marked a turning point in Berlin, Germany's history.",Mahatma Gandhi,Ottoman Empire,"Berlin, Germany",1959-08-11,coronation,History,the coronation marked a turning point in berlin germanys history,coronation marked turning point berlin germany history
"The final match in London, UK featured M.S. Dhoni and NBA.",M.S. Dhoni,NBA,"London, UK",1757-02-15,final match,Sports,the final match in london uk featured ms dhoni and nba,final match london uk featured m dhoni nba
"A bill passage was passed by United Nations impacting Washington, USA.",Angela Merkel,United Nations,"Washington, USA",1902-07-07,bill passage,Politics,a bill passage was passed by united nations impacting washington usa,bill passage passed united nation impacting washington usa
Tesla acquired Tesla in a deal valued at $15M.,Indra Nooyi,Tesla,"Mumbai, India",2020-08-16,acquisition,Business,tesla acquired tesla in a deal valued at m,tesla acquired tesla deal valued
"The coronation marked a turning point in Constantinople, Turkey's history.",Julius Caesar,British Empire,"Constantinople, Turkey",1886-08-30,coronation,History,the coronation marked a turning point in constantinople turkeys history,coronation marked turning point constantinople turkey history
Marissa Mayer announced a new robotics at Apple.,Marissa Mayer,Apple,"Silicon Valley, USA",1764-06-22,robotics,Technology,marissa mayer announced a new robotics at apple,marissa mayer announced new robotics apple
"Goldman Sachs opened a new office in New York, USA to expand consumer electronics.",Indra Nooyi,Goldman Sachs,"New York, USA",1506-12-02,acquisition,Business,goldman sachs opened a new office in new york usa to expand consumer electronics,goldman sachs opened new office new york usa expand consumer electronics
"Farmers in Nairobi, Kenya adopted irrigation technique adoption developed by AgriTech Ltd.",M. S. Swaminathan,AgriTech Ltd,"Nairobi, Kenya",1708-01-30,irrigation technique adoption,Agriculture,farmers in nairobi kenya adopted irrigation technique adoption developed by agritech ltd,farmer nairobi kenya adopted irrigation technique adoption developed agritech ltd
"The Treaty signing marked a turning point in Constantinople, Turkey's history.",Cleopatra,Roman Senate,"Constantinople, Turkey",1892-01-20,Treaty signing,History,the treaty signing marked a turning point in constantinople turkeys history,treaty signing marked turning point constantinople turkey history
"Serena Williams led Wimbledon to victory at the tournament in Madrid, Spain.",Serena Williams,Wimbledon,"Madrid, Spain",1989-07-11,tournament,Sports,serena williams led wimbledon to victory at the tournament in madrid spain,serena williams led wimbledon victory tournament madrid spain
Jamie Dimon became CEO of Tesla following the acquisition.,Jamie Dimon,Tesla,"Mumbai, India",1658-09-29,acquisition,Business,jamie dimon became ceo of tesla following the acquisition,jamie dimon became ceo tesla following acquisition
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Lima, Peru.",Wangari Maathai,AgriTech Ltd,"Lima, Peru",1923-10-05,irrigation technique adoption,Agriculture,agritech ltd introduced a irrigation technique adoption to improve yields in lima peru,agritech ltd introduced irrigation technique adoption improve yield lima peru
"Records show coronation happened in Delhi, India around 1841-04-20.",Queen Elizabeth I,Roman Senate,"Delhi, India",1841-04-20,coronation,History,records show coronation happened in delhi india around,record show coronation happened delhi india around
"Rachel Carson led trials of pest control trial in Iowa, USA.",Rachel Carson,AgriTech Ltd,"Iowa, USA",1670-05-10,pest control trial,Agriculture,rachel carson led trials of pest control trial in iowa usa,rachel carson led trial pest control trial iowa usa
"A summit was passed by European Union impacting Geneva, Switzerland.",Barack Obama,European Union,"Geneva, Switzerland",2008-06-17,summit,Politics,a summit was passed by european union impacting geneva switzerland,summit passed european union impacting geneva switzerland
Wimbledon announced a new final match for 2023-2024.,Serena Williams,Wimbledon,"Melbourne, Australia",1856-04-05,final match,Sports,wimbledon announced a new final match for,wimbledon announced new final match
"The final match in Madrid, Spain featured Cristiano Ronaldo and Wimbledon.",Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1661-11-07,final match,Sports,the final match in madrid spain featured cristiano ronaldo and wimbledon,final match madrid spain featured cristiano ronaldo wimbledon
"A famous opera by Pablo Picasso is housed in Sydney Opera House in Madrid, Spain.",Pablo Picasso,Sydney Opera House,"Madrid, Spain",1582-08-01,opera,Arts,a famous opera by pablo picasso is housed in sydney opera house in madrid spain,famous opera pablo picasso housed sydney opera house madrid spain
"The season opener in London, UK featured M.S. Dhoni and FC Barcelona.",M.S. Dhoni,FC Barcelona,"London, UK",1583-09-10,season opener,Sports,the season opener in london uk featured ms dhoni and fc barcelona,season opener london uk featured m dhoni fc barcelona
"The final match in Madrid, Spain featured M.S. Dhoni and NBA.",M.S. Dhoni,NBA,"Madrid, Spain",1872-04-15,final match,Sports,the final match in madrid spain featured ms dhoni and nba,final match madrid spain featured m dhoni nba
CERN announced a climate study that impacts genetics.,Albert Einstein,CERN,"Geneva, Switzerland",1529-04-13,climate study,Science,cern announced a climate study that impacts genetics,cern announced climate study impact genetics
Isaac Newton published findings on field research at CERN.,Isaac Newton,CERN,"Cambridge, UK",1744-02-29,field research,Science,isaac newton published findings on field research at cern,isaac newton published finding field research cern
Max Planck Institute announced a field research that impacts climatology.,Marie Curie,Max Planck Institute,"Cape Town, South Africa",1680-01-12,field research,Science,max planck institute announced a field research that impacts climatology,max planck institute announced field research impact climatology
A breakthrough in edge computing was reported by OpenAI.,Elon Musk,OpenAI,"Bengaluru, India",1914-09-29,robotics,Technology,a breakthrough in edge computing was reported by openai,breakthrough edge computing reported openai
A study by George Washington Carver showed benefits of yield improvement study for soybeans.,George Washington Carver,International Rice Research Institute,"Punjab, India",1864-06-11,yield improvement study,Agriculture,a study by george washington carver showed benefits of yield improvement study for soybeans,study george washington carver showed benefit yield improvement study soybean
Indra Nooyi became CEO of Siemens following the restructuring.,Indra Nooyi,Siemens,"Seoul, South Korea",1724-02-02,restructuring,Business,indra nooyi became ceo of siemens following the restructuring,indra nooyi became ceo siemens following restructuring
"Grace Hopper led the launch of a 5G networks in Stockholm, Sweden.",Grace Hopper,Microsoft; IBM,"Stockholm, Sweden",1625-02-04,5G networks,Technology,grace hopper led the launch of a g networks in stockholm sweden,grace hopper led launch g network stockholm sweden
Siemens acquired Samsung in a deal valued at $1.2B.,Tim Cook,Siemens,"Frankfurt, Germany",1681-06-14,acquisition,Business,siemens acquired samsung in a deal valued at b,siemens acquired samsung deal valued b
"A bill passage was passed by Parliament impacting Washington, USA.",Kamala Harris,Parliament,"Washington, USA",1596-02-18,bill passage,Politics,a bill passage was passed by parliament impacting washington usa,bill passage passed parliament impacting washington usa
"Researchers at Harvard University reported a field research in Cambridge, UK.",Marie Curie,Harvard University,"Cambridge, UK",1884-05-26,field research,Science,researchers at harvard university reported a field research in cambridge uk,researcher harvard university reported field research cambridge uk
"Angela Merkel announced policy changes regarding climate at Washington, USA.",Angela Merkel,Congress; United Nations,"Washington, USA",1616-08-01,bill passage,Politics,angela merkel announced policy changes regarding climate at washington usa,angela merkel announced policy change regarding climate washington usa
NBA announced a new season opener for 2024-2025.,Serena Williams,NBA,"Madrid, Spain",1740-10-05,season opener,Sports,nba announced a new season opener for,nba announced new season opener
NBA announced a new season opener for 2023-2024.,Serena Williams,NBA,"London, UK",1796-01-03,season opener,Sports,nba announced a new season opener for,nba announced new season opener
"Barack Obama met leaders from United Nations in New Delhi, India to discuss policy announcement.",Barack Obama; Kamala Harris,United Nations,"New Delhi, India",1799-06-11,policy announcement,Politics,barack obama met leaders from united nations in new delhi india to discuss policy announcement,barack obama met leader united nation new delhi india discus policy announcement
"A policy announcement was passed by Parliament impacting Geneva, Switzerland.",Barack Obama,Parliament,"Geneva, Switzerland",1528-06-06,policy announcement,Politics,a policy announcement was passed by parliament impacting geneva switzerland,policy announcement passed parliament impacting geneva switzerland
"Researchers at CERN reported a climate study in Cape Town, South Africa.",Marie Curie,CERN,"Cape Town, South Africa",1575-09-07,climate study,Science,researchers at cern reported a climate study in cape town south africa,researcher cern reported climate study cape town south africa
"Angela Merkel announced policy changes regarding education at Geneva, Switzerland.",Angela Merkel,Congress,"Geneva, Switzerland",1520-09-26,summit,Politics,angela merkel announced policy changes regarding education at geneva switzerland,angela merkel announced policy change regarding education geneva switzerland
"The expedition marked a turning point in Delhi, India's history.",Queen Elizabeth I,Ottoman Empire,"Delhi, India",1978-04-28,expedition,History,the expedition marked a turning point in delhi indias history,expedition marked turning point delhi india history
Goldman Sachs acquired Siemens in a deal valued at $1.2B.,Tim Cook,Goldman Sachs,"New York, USA",1809-10-18,acquisition,Business,goldman sachs acquired siemens in a deal valued at b,goldman sachs acquired siemens deal valued b
"Records show uprising happened in Delhi, India around 1726-07-15.",Queen Elizabeth I,Roman Senate,"Delhi, India",1726-07-15,uprising,History,records show uprising happened in delhi india around,record show uprising happened delhi india around
merger led to restructuring at Tesla.,Sundar Pichai,Tesla,"Frankfurt, Germany",1606-10-20,merger,Business,merger led to restructuring at tesla,merger led restructuring tesla
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Narendra Modi; Barack Obama,Congress,"New Delhi, India",1723-10-01,bill passage,Politics,narendra modi announced policy changes regarding climate at new delhi india,narendra modi announced policy change regarding climate new delhi india
Samsung acquired Tesla in a deal valued at $450M.,Sundar Pichai,Samsung,"New York, USA",1618-08-02,acquisition,Business,samsung acquired tesla in a deal valued at m,samsung acquired tesla deal valued
Wimbledon announced a new season opener for 2022-2023.,Serena Williams,Wimbledon,"London, UK",1739-01-07,season opener,Sports,wimbledon announced a new season opener for,wimbledon announced new season opener
"A bill passage was passed by Parliament impacting Washington, USA.",Narendra Modi; Kamala Harris,Parliament,"Washington, USA",1892-02-15,bill passage,Politics,a bill passage was passed by parliament impacting washington usa,bill passage passed parliament impacting washington usa
restructuring led to restructuring at Goldman Sachs.,Sundar Pichai,Goldman Sachs,"Frankfurt, Germany",1923-04-05,restructuring,Business,restructuring led to restructuring at goldman sachs,restructuring led restructuring goldman sachs
A breakthrough in 5G networks was reported by Intel.,Grace Hopper,Intel,"Silicon Valley, USA",1745-03-25,robotics,Technology,a breakthrough in g networks was reported by intel,breakthrough g network reported intel
acquisition led to restructuring at Siemens.,Tim Cook,Siemens,"Frankfurt, Germany",1601-07-23,acquisition,Business,acquisition led to restructuring at siemens,acquisition led restructuring siemens
Elon Musk announced a new edge computing at IBM.,Elon Musk,IBM,"Bengaluru, India",1870-07-31,edge computing,Technology,elon musk announced a new edge computing at ibm,elon musk announced new edge computing ibm
A study by Wangari Maathai showed benefits of yield improvement study for maize.,Wangari Maathai,ICAR,"Punjab, India",1539-06-15,yield improvement study,Agriculture,a study by wangari maathai showed benefits of yield improvement study for maize,study wangari maathai showed benefit yield improvement study maize
restructuring led to restructuring at Samsung.,Jamie Dimon,Samsung; Goldman Sachs,"New York, USA",1803-02-25,restructuring,Business,restructuring led to restructuring at samsung,restructuring led restructuring samsung
"The coronation took place in Rome, Italy and involved British Empire.",Cleopatra,British Empire,"Rome, Italy",1600-09-19,coronation,History,the coronation took place in rome italy and involved british empire,coronation took place rome italy involved british empire
"The expedition marked a turning point in Berlin, Germany's history.",Cleopatra,Roman Senate,"Berlin, Germany",1939-12-13,expedition,History,the expedition marked a turning point in berlin germanys history,expedition marked turning point berlin germany history
"Samsung opened a new office in Frankfurt, Germany to expand financial services.",Tim Cook,Samsung,"Frankfurt, Germany",1923-05-04,merger,Business,samsung opened a new office in frankfurt germany to expand financial services,samsung opened new office frankfurt germany expand financial service
"Barack Obama met leaders from Parliament in Geneva, Switzerland to discuss bill passage.",Barack Obama; Kamala Harris,Parliament,"Geneva, Switzerland",1893-02-24,bill passage,Politics,barack obama met leaders from parliament in geneva switzerland to discuss bill passage,barack obama met leader parliament geneva switzerland discus bill passage
A study by Norman Borlaug showed benefits of yield improvement study for maize.,Norman Borlaug,FAO,"Iowa, USA",1856-12-29,yield improvement study,Agriculture,a study by norman borlaug showed benefits of yield improvement study for maize,study norman borlaug showed benefit yield improvement study maize
"FAO introduced a pest control trial to improve yields in Nairobi, Kenya.",M. S. Swaminathan,FAO,"Nairobi, Kenya",1968-03-05,pest control trial,Agriculture,fao introduced a pest control trial to improve yields in nairobi kenya,fao introduced pest control trial improve yield nairobi kenya
Jamie Dimon became CEO of Tesla following the IPO.,Jamie Dimon,Tesla,"Mumbai, India",1857-07-14,IPO,Business,jamie dimon became ceo of tesla following the ipo,jamie dimon became ceo tesla following ipo
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Rosalind Franklin,Harvard University,"Cape Town, South Africa",1645-04-19,field research,Science,researchers at harvard university reported a field research in cape town south africa,researcher harvard university reported field research cape town south africa
"Kamala Harris announced policy changes regarding healthcare at New Delhi, India.",Kamala Harris,Parliament,"New Delhi, India",1595-01-22,policy announcement,Politics,kamala harris announced policy changes regarding healthcare at new delhi india,kamala harris announced policy change regarding healthcare new delhi india
"A summit was passed by United Nations impacting Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1818-11-23,summit,Politics,a summit was passed by united nations impacting washington usa,summit passed united nation impacting washington usa
A study by M. S. Swaminathan showed benefits of irrigation technique adoption for soybeans.,M. S. Swaminathan,ICAR,"Iowa, USA",1810-10-25,irrigation technique adoption,Agriculture,a study by m s swaminathan showed benefits of irrigation technique adoption for soybeans,study swaminathan showed benefit irrigation technique adoption soybean
"FAO introduced a yield improvement study to improve yields in Iowa, USA.",Rachel Carson,FAO,"Iowa, USA",1950-07-03,yield improvement study,Agriculture,fao introduced a yield improvement study to improve yields in iowa usa,fao introduced yield improvement study improve yield iowa usa
NBA announced a new final match for 2024-2025.,Serena Williams,NBA,"London, UK",1641-05-29,final match,Sports,nba announced a new final match for,nba announced new final match
"Narendra Modi announced policy changes regarding trade at Washington, USA.",Narendra Modi,Congress,"Washington, USA",1584-10-07,policy announcement,Politics,narendra modi announced policy changes regarding trade at washington usa,narendra modi announced policy change regarding trade washington usa
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Sundar Pichai; Mary Barra,Reliance Industries,"Mumbai, India",1929-03-10,acquisition,Business,sundar pichai became ceo of reliance industries following the acquisition,sundar pichai became ceo reliance industry following acquisition
"The season opener in Madrid, Spain featured Serena Williams and NBA.",Serena Williams,NBA,"Madrid, Spain",1628-03-15,season opener,Sports,the season opener in madrid spain featured serena williams and nba,season opener madrid spain featured serena williams nba
Tesla acquired Tesla in a deal valued at $450M.,Indra Nooyi,Tesla,"Frankfurt, Germany",1578-04-29,acquisition,Business,tesla acquired tesla in a deal valued at m,tesla acquired tesla deal valued
"Samsung opened a new office in Mumbai, India to expand manufacturing.",Indra Nooyi,Samsung,"Mumbai, India",1654-12-30,restructuring,Business,samsung opened a new office in mumbai india to expand manufacturing,samsung opened new office mumbai india expand manufacturing
A study by Norman Borlaug showed benefits of irrigation technique adoption for soybeans.,Norman Borlaug,ICAR,"Iowa, USA",1653-10-09,irrigation technique adoption,Agriculture,a study by norman borlaug showed benefits of irrigation technique adoption for soybeans,study norman borlaug showed benefit irrigation technique adoption soybean
A breakthrough in AI-driven sensors was reported by Apple.,Sundar Pichai,Apple,"Silicon Valley, USA",1922-12-15,5G networks,Technology,a breakthrough in aidriven sensors was reported by apple,breakthrough aidriven sensor reported apple
"George Washington Carver led trials of irrigation technique adoption in Nairobi, Kenya.",George Washington Carver,AgriTech Ltd,"Nairobi, Kenya",1501-10-14,irrigation technique adoption,Agriculture,george washington carver led trials of irrigation technique adoption in nairobi kenya,george washington carver led trial irrigation technique adoption nairobi kenya
NASA announced a climate study that impacts biology.,Isaac Newton,NASA,"Cambridge, UK",1632-04-10,climate study,Science,nasa announced a climate study that impacts biology,nasa announced climate study impact biology
"Lionel Messi led NBA to victory at the final match in London, UK.",Lionel Messi,NBA,"London, UK",1500-02-14,final match,Sports,lionel messi led nba to victory at the final match in london uk,lionel messi led nba victory final match london uk
"Researchers at Max Planck Institute reported a particle discovery in Geneva, Switzerland.",Isaac Newton,Max Planck Institute,"Geneva, Switzerland",1654-06-05,particle discovery,Science,researchers at max planck institute reported a particle discovery in geneva switzerland,researcher max planck institute reported particle discovery geneva switzerland
"Narendra Modi announced policy changes regarding education at Washington, USA.",Narendra Modi,Congress,"Washington, USA",1851-08-21,summit,Politics,narendra modi announced policy changes regarding education at washington usa,narendra modi announced policy change regarding education washington usa
acquisition led to restructuring at Tesla.,Mary Barra,Tesla,"Seoul, South Korea",1525-11-28,acquisition,Business,acquisition led to restructuring at tesla,acquisition led restructuring tesla
"Samsung opened a new office in Frankfurt, Germany to expand cloud services.",Tim Cook,Samsung,"Frankfurt, Germany",1887-07-25,merger,Business,samsung opened a new office in frankfurt germany to expand cloud services,samsung opened new office frankfurt germany expand cloud service
A study on climate study led by Isaac Newton was published on 1683-02-14.,Isaac Newton,Harvard University,"Geneva, Switzerland",1683-02-14,climate study,Science,a study on climate study led by isaac newton was published on,study climate study led isaac newton published
"The tournament in Melbourne, Australia featured M.S. Dhoni and FC Barcelona.",M.S. Dhoni,FC Barcelona,"Melbourne, Australia",1932-04-23,tournament,Sports,the tournament in melbourne australia featured ms dhoni and fc barcelona,tournament melbourne australia featured m dhoni fc barcelona
"M.S. Dhoni led Team India to victory at the season opener in Madrid, Spain.",M.S. Dhoni,Team India,"Madrid, Spain",1662-05-23,season opener,Sports,ms dhoni led team india to victory at the season opener in madrid spain,m dhoni led team india victory season opener madrid spain
"Marissa Mayer led the launch of a AI-driven sensors in Shenzhen, China.",Marissa Mayer,IBM,"Shenzhen, China",1771-05-04,AI-driven sensors,Technology,marissa mayer led the launch of a aidriven sensors in shenzhen china,marissa mayer led launch aidriven sensor shenzhen china
Rosalind Franklin published findings on particle discovery at Harvard University.,Rosalind Franklin,Harvard University,"Cambridge, UK",1611-02-17,particle discovery,Science,rosalind franklin published findings on particle discovery at harvard university,rosalind franklin published finding particle discovery harvard university
restructuring led to restructuring at Siemens.,Tim Cook,Siemens,"Frankfurt, Germany",1710-05-25,restructuring,Business,restructuring led to restructuring at siemens,restructuring led restructuring siemens
