Original Text,Subject,Relation,Object
Vincent van Gogh exhibited a new opera at Louvre Museum.,Gogh,exhibited,Museum
"Kamala Harris announced policy changes regarding education at Washington, USA.",Harris,announced,Washington
"The final match in Melbourne, Australia featured Serena Williams and Team India.",Australia,featured,Williams
Siemens acquired Tesla in a deal valued at $15M.,Siemens,acquired,15M.
IBM released a AI-driven sensors that improves quantum computing.,that,released,computing
"Metropolitan Opera announced restoration of the symphony in New York, USA.",Opera,announced,York
Sundar Pichai became CEO of Goldman Sachs following the acquisition.,Pichai,became,acquisition
Leonardo da Vinci exhibited a new installation at Sydney Opera House.,Vinci,exhibited,House
"Serena Williams led Team India to victory at the tournament in Madrid, Spain.",Williams,led,Madrid
"Rachel Carson led trials of yield improvement study in Nairobi, Kenya.",Carson,led,Nairobi
"The Treaty signing took place in Constantinople, Turkey and involved Mughal Empire.",signing,took,Empire
OpenAI released a 5G networks that improves robotics.,that,released,robotics
"Farmers in Iowa, USA adopted pest control trial developed by ICAR.",USA,adopted,ICAR
Marie Curie published findings on gene sequencing at CERN.,Curie,published,CERN
Harvard University announced a climate study that impacts climatology.,that,announced,climatology
Vincent van Gogh exhibited a new installation at Sydney Opera House.,Gogh,exhibited,House
"A famous exhibition by BeyoncÃ© is housed in Sydney Opera House in Paris, France.",exhibition,housed,Paris
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Punjab, India.",Institute,introduced,Punjab
"Leonardo da Vinci premiered a exhibition at New York, USA.",Vinci,premiered,York
NBA announced a new final match for 2022-2023.,NBA,announced,2022
BeyoncÃ© exhibited a new symphony at Sydney Opera House.,©,exhibited,House
Marie Curie published findings on particle discovery at NASA.,Curie,published,NASA
"Frida Kahlo premiered a symphony at Madrid, Spain.",Kahlo,premiered,Madrid
"A famous painting by Vincent van Gogh is housed in Louvre Museum in Madrid, Spain.",painting,housed,Madrid
"Farmers in Punjab, India adopted irrigation technique adoption developed by AgriTech Ltd.",India,adopted,Ltd.
A breakthrough in edge computing was reported by Apple.,breakthrough,reported,Apple
A study by Wangari Maathai showed benefits of irrigation technique adoption for maize.,study,showed,maize
"The expedition took place in Rome, Italy and involved Mughal Empire.",expedition,took,Empire
A study by Wangari Maathai showed benefits of irrigation technique adoption for wheat.,study,showed,wheat
Indra Nooyi became CEO of Reliance Industries following the restructuring.,Nooyi,became,restructuring
"Norman Borlaug led trials of pest control trial in Nairobi, Kenya.",Borlaug,led,Nairobi
"Angela Merkel met leaders from United Nations in Washington, USA to discuss summit.",USA,met,summit
"Records show coronation happened in Berlin, Germany around 1987-01-02.",coronation,happened,1987
"Serena Williams led Team India to victory at the final match in Melbourne, Australia.",Williams,led,Australia
"The uprising marked a turning point in Berlin, Germany's history.",uprising,marked,Berlin
A study by Wangari Maathai showed benefits of irrigation technique adoption for soybeans.,study,showed,soybeans
Albert Einstein published findings on field research at CERN.,Einstein,published,CERN
"The final match in London, UK featured Lionel Messi and Team India.",UK,featured,Messi
Cleopatra was a key figure in the uprising.,Cleopatra,was,uprising
"The tournament in London, UK featured M.S. Dhoni and FC Barcelona.",UK,featured,Dhoni
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Modi,announced,Delhi
"Narendra Modi met leaders from Parliament in Geneva, Switzerland to discuss bill passage.",Modi,met,passage
"FAO introduced a irrigation technique adoption to improve yields in Nairobi, Kenya.",FAO,introduced,Nairobi
A study on field research led by Marie Curie was published on 1902-12-07.,study,published,1902
BeyoncÃ© exhibited a new installation at Metropolitan Opera.,©,exhibited,Opera
A study by M. S. Swaminathan showed benefits of pest control trial for maize.,study,showed,maize
"Lionel Messi led Wimbledon to victory at the season opener in Melbourne, Australia.",Messi,led,Australia
IPO led to restructuring at Tesla.,IPO,led,Tesla
"Barack Obama announced policy changes regarding trade at Geneva, Switzerland.",Obama,announced,Geneva
"Researchers at Harvard University reported a particle discovery in Geneva, Switzerland.",Researchers,reported,Geneva
"Reliance Industries opened a new office in Mumbai, India to expand financial services.",India,opened,services
Google released a AI-driven sensors that improves edge computing.,that,released,computing
Jane Goodall published findings on gene sequencing at Max Planck Institute.,Goodall,published,Institute
"A famous installation by Leonardo da Vinci is housed in Tate Modern in New York, USA.",installation,housed,York
"Farmers in Iowa, USA adopted pest control trial developed by CIMMYT.",USA,adopted,CIMMYT
"A famous exhibition by Frida Kahlo is housed in Tate Modern in Vienna, Austria.",exhibition,housed,Vienna
Cleopatra was a key figure in the battle.,Cleopatra,was,battle
"The tournament in Melbourne, Australia featured Lionel Messi and Team India.",Australia,featured,Messi
A study by George Washington Carver showed benefits of irrigation technique adoption for soybeans.,study,showed,soybeans
"Louvre Museum announced restoration of the opera in Vienna, Austria.",Museum,announced,Vienna
"Royal Academy announced restoration of the painting in Madrid, Spain.",Academy,announced,Madrid
A breakthrough in robotics was reported by Microsoft.,breakthrough,reported,Microsoft
Jane Goodall published findings on particle discovery at NASA.,Goodall,published,NASA
Wimbledon announced a new season opener for 2023-2024.,Wimbledon,announced,2023
"Siemens opened a new office in Mumbai, India to expand consumer electronics.",India,opened,electronics
"Reliance Industries opened a new office in New York, USA to expand consumer electronics.",USA,opened,electronics
"A policy announcement was passed by United Nations impacting Washington, USA.",announcement,passed,Nations
"Researchers at Max Planck Institute reported a field research in Geneva, Switzerland.",Researchers,reported,Geneva
"Records show uprising happened in Delhi, India around 1923-05-02.",uprising,show,1923
Sundar Pichai became CEO of Tesla following the restructuring.,Pichai,became,restructuring
OpenAI released a edge computing that improves AI-driven sensors.,that,released,sensors
"Cristiano Ronaldo led Wimbledon to victory at the final match in Melbourne, Australia.",Ronaldo,led,Australia
A breakthrough in edge computing was reported by OpenAI.,breakthrough,reported,OpenAI
Max Planck Institute announced a field research that impacts genetics.,that,announced,genetics
"Lionel Messi led NBA to victory at the tournament in London, UK.",Messi,led,London
"Ludwig van Beethoven premiered a symphony at Vienna, Austria.",Beethoven,premiered,Vienna
"Frida Kahlo premiered a symphony at Vienna, Austria.",Kahlo,premiered,Vienna
"A famous exhibition by BeyoncÃ© is housed in Louvre Museum in Paris, France.",exhibition,housed,Paris
Wimbledon announced a new final match for 2022-2023.,Wimbledon,announced,2022
"AgriTech Ltd introduced a irrigation technique adoption to improve yields in Punjab, India.",Ltd,introduced,Punjab
A breakthrough in 5G networks was reported by Google.,breakthrough,reported,Google
"International Rice Research Institute introduced a yield improvement study to improve yields in Punjab, India.",Institute,introduced,Punjab
"A summit was passed by Congress impacting Washington, USA.",summit,passed,Washington
Apple released a robotics that improves AI-driven sensors.,that,released,sensors
"Norman Borlaug led trials of yield improvement study in Nairobi, Kenya.",Borlaug,led,Nairobi
"Frida Kahlo premiered a painting at Vienna, Austria.",Kahlo,premiered,Vienna
A study by M. S. Swaminathan showed benefits of yield improvement study for rice.,study,showed,rice
A study by M. S. Swaminathan showed benefits of irrigation technique adoption for wheat.,study,showed,wheat
"The uprising marked a turning point in Rome, Italy's history.",uprising,marked,Rome
"M.S. Dhoni led NBA to victory at the final match in London, UK.",Dhoni,led,London
"Ludwig van Beethoven premiered a exhibition at New York, USA.",Beethoven,premiered,York
A breakthrough in 5G networks was reported by SpaceX.,breakthrough,reported,SpaceX.
A study on field research led by Rosalind Franklin was published on 1733-08-03.,study,published,03
"Elon Musk led the launch of a quantum computing in Bengaluru, India.",Musk,led,Bengaluru
"Kamala Harris met leaders from United Nations in Geneva, Switzerland to discuss summit.",Harris,met,summit
Pablo Picasso exhibited a new exhibition at Royal Academy.,Picasso,exhibited,Academy
"Rachel Carson led trials of yield improvement study in Punjab, India.",Carson,led,Punjab
"A famous symphony by Vincent van Gogh is housed in Royal Academy in Paris, France.",symphony,housed,Paris
Wimbledon announced a new season opener for 2023-2024.,Wimbledon,announced,2023
Max Planck Institute announced a gene sequencing that impacts physics.,that,announced,physics
"Louvre Museum announced restoration of the symphony in New York, USA.",Museum,announced,York
"M. S. Swaminathan led trials of yield improvement study in Lima, Peru.",Swaminathan,led,Lima
Marie Curie published findings on particle discovery at Harvard University.,Curie,published,University
"Kamala Harris met leaders from Congress in New Delhi, India to discuss bill passage.",India,met,passage
"Tesla opened a new office in Seoul, South Korea to expand consumer electronics.",Tesla,opened,electronics
"BeyoncÃ© premiered a painting at Madrid, Spain.",©,premiered,Madrid
"A famous exhibition by Vincent van Gogh is housed in Louvre Museum in New York, USA.",exhibition,housed,York
"The Treaty signing took place in Berlin, Germany and involved British Empire.",signing,took,Empire
Pablo Picasso exhibited a new opera at Louvre Museum.,Picasso,exhibited,Museum
"The battle marked a turning point in Constantinople, Turkey's history.",battle,marked,history
NBA announced a new season opener for 2022-2023.,NBA,announced,2022
"Records show coronation happened in Delhi, India around 1674-10-24.",coronation,happened,1674
FC Barcelona announced a new tournament for 2024-2025.,Barcelona,announced,2024
A study on climate study led by Marie Curie was published on 1575-11-05.,study,published,1575
Frida Kahlo exhibited a new exhibition at Louvre Museum.,Kahlo,exhibited,Museum
Team India announced a new tournament for 2023-2024.,India,announced,2023
Marie Curie published findings on climate study at CERN.,Curie,published,CERN
"The final match in Madrid, Spain featured Lionel Messi and Wimbledon.",Spain,featured,Messi
"Records show expedition happened in Berlin, Germany around 1511-04-02.",expedition,happened,1511
"Lionel Messi led NBA to victory at the final match in Madrid, Spain.",Messi,led,Madrid
"Researchers at Max Planck Institute reported a particle discovery in Cape Town, South Africa.",Researchers,reported,Town
Harvard University announced a particle discovery that impacts physics.,that,announced,physics
Tesla acquired Samsung in a deal valued at $15M.,Tesla,acquired,15M.
A study on climate study led by Rosalind Franklin was published on 1619-08-15.,study,published,1619
"Sundar Pichai led the launch of a quantum computing in Shenzhen, China.",Pichai,led,Shenzhen
"The expedition took place in Constantinople, Turkey and involved British Empire.",expedition,took,Empire
SpaceX released a quantum computing that improves AI-driven sensors.,that,released,sensors
"Barack Obama announced policy changes regarding education at Washington, USA.",Obama,announced,Washington
Mahatma Gandhi was a key figure in the Treaty signing.,Gandhi,was,signing
"The tournament in Melbourne, Australia featured Cristiano Ronaldo and Wimbledon.",Australia,featured,Ronaldo
A study on field research led by Jane Goodall was published on 2006-12-09.,study,published,2006
"Researchers at NASA reported a field research in Cambridge, UK.",Researchers,reported,Cambridge
Indra Nooyi became CEO of Samsung following the acquisition.,Nooyi,became,acquisition
Reliance Industries acquired Siemens in a deal valued at $1.2B.,Industries,acquired,1.2B.
"Kamala Harris met leaders from Parliament in New Delhi, India to discuss policy announcement.",India,met,announcement
Goldman Sachs acquired Reliance Industries in a deal valued at $450M.,Sachs,acquired,450M.
