Text,People,Organizations,Locations,Date,Event,Domain
Siemens acquired Samsung in a deal valued at $1.2B.,Tim Cook,Siemens,"Frankfurt, Germany",1681-06-14,acquisition,Business
"A bill passage was passed by Parliament impacting Washington, USA.",Kamala Harris,Parliament,"Washington, USA",1596-02-18,bill passage,Politics
"Researchers at Harvard University reported a field research in Cambridge, UK.",Marie Curie,Harvard University,"Cambridge, UK",1884-05-26,field research,Science
"Angela Merkel announced policy changes regarding climate at Washington, USA.",Angela Merkel,Congress; United Nations,"Washington, USA",1616-08-01,bill passage,Politics
NBA announced a new season opener for 2024-2025.,Serena Williams,NBA,"Madrid, Spain",1740-10-05,season opener,Sports
NBA announced a new season opener for 2023-2024.,Serena Williams,NBA,"London, UK",1796-01-03,season opener,Sports
"Barack Obama met leaders from United Nations in New Delhi, India to discuss policy announcement.",Barack Obama; Kamala Harris,United Nations,"New Delhi, India",1799-06-11,policy announcement,Politics
"A policy announcement was passed by Parliament impacting Geneva, Switzerland.",Barack Obama,Parliament,"Geneva, Switzerland",1528-06-06,policy announcement,Politics
"Researchers at CERN reported a climate study in Cape Town, South Africa.",Marie Curie,CERN,"Cape Town, South Africa",1575-09-07,climate study,Science
"Angela Merkel announced policy changes regarding education at Geneva, Switzerland.",Angela Merkel,Congress,"Geneva, Switzerland",1520-09-26,summit,Politics
"The expedition marked a turning point in Delhi, India's history.",Queen Elizabeth I,Ottoman Empire,"Delhi, India",1978-04-28,expedition,History
Goldman Sachs acquired Siemens in a deal valued at $1.2B.,Tim Cook,Goldman Sachs,"New York, USA",1809-10-18,acquisition,Business
"Records show uprising happened in Delhi, India around 1726-07-15.",Queen Elizabeth I,Roman Senate,"Delhi, India",1726-07-15,uprising,History
merger led to restructuring at Tesla.,Sundar Pichai,Tesla,"Frankfurt, Germany",1606-10-20,merger,Business
"Narendra Modi announced policy changes regarding climate at New Delhi, India.",Narendra Modi; Barack Obama,Congress,"New Delhi, India",1723-10-01,bill passage,Politics
Samsung acquired Tesla in a deal valued at $450M.,Sundar Pichai,Samsung,"New York, USA",1618-08-02,acquisition,Business
Wimbledon announced a new season opener for 2022-2023.,Serena Williams,Wimbledon,"London, UK",1739-01-07,season opener,Sports
"A bill passage was passed by Parliament impacting Washington, USA.",Narendra Modi; Kamala Harris,Parliament,"Washington, USA",1892-02-15,bill passage,Politics
restructuring led to restructuring at Goldman Sachs.,Sundar Pichai,Goldman Sachs,"Frankfurt, Germany",1923-04-05,restructuring,Business
A breakthrough in 5G networks was reported by Intel.,Grace Hopper,Intel,"Silicon Valley, USA",1745-03-25,robotics,Technology
acquisition led to restructuring at Siemens.,Tim Cook,Siemens,"Frankfurt, Germany",1601-07-23,acquisition,Business
Elon Musk announced a new edge computing at IBM.,Elon Musk,IBM,"Bengaluru, India",1870-07-31,edge computing,Technology
A study by Wangari Maathai showed benefits of yield improvement study for maize.,Wangari Maathai,ICAR,"Punjab, India",1539-06-15,yield improvement study,Agriculture
restructuring led to restructuring at Samsung.,Jamie Dimon,Samsung; Goldman Sachs,"New York, USA",1803-02-25,restructuring,Business
"The coronation took place in Rome, Italy and involved British Empire.",Cleopatra,British Empire,"Rome, Italy",1600-09-19,coronation,History
"The expedition marked a turning point in Berlin, Germany's history.",Cleopatra,Roman Senate,"Berlin, Germany",1939-12-13,expedition,History
"Samsung opened a new office in Frankfurt, Germany to expand financial services.",Tim Cook,Samsung,"Frankfurt, Germany",1923-05-04,merger,Business
"Barack Obama met leaders from Parliament in Geneva, Switzerland to discuss bill passage.",Barack Obama; Kamala Harris,Parliament,"Geneva, Switzerland",1893-02-24,bill passage,Politics
A study by Norman Borlaug showed benefits of yield improvement study for maize.,Norman Borlaug,FAO,"Iowa, USA",1856-12-29,yield improvement study,Agriculture
"FAO introduced a pest control trial to improve yields in Nairobi, Kenya.",M. S. Swaminathan,FAO,"Nairobi, Kenya",1968-03-05,pest control trial,Agriculture
Jamie Dimon became CEO of Tesla following the IPO.,Jamie Dimon,Tesla,"Mumbai, India",1857-07-14,IPO,Business
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Rosalind Franklin,Harvard University,"Cape Town, South Africa",1645-04-19,field research,Science
"Kamala Harris announced policy changes regarding healthcare at New Delhi, India.",Kamala Harris,Parliament,"New Delhi, India",1595-01-22,policy announcement,Politics
"A summit was passed by United Nations impacting Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1818-11-23,summit,Politics
A study by M. S. Swaminathan showed benefits of irrigation technique adoption for soybeans.,M. S. Swaminathan,ICAR,"Iowa, USA",1810-10-25,irrigation technique adoption,Agriculture
"FAO introduced a yield improvement study to improve yields in Iowa, USA.",Rachel Carson,FAO,"Iowa, USA",1950-07-03,yield improvement study,Agriculture
NBA announced a new final match for 2024-2025.,Serena Williams,NBA,"London, UK",1641-05-29,final match,Sports
"Narendra Modi announced policy changes regarding trade at Washington, USA.",Narendra Modi,Congress,"Washington, USA",1584-10-07,policy announcement,Politics
Sundar Pichai became CEO of Reliance Industries following the acquisition.,Sundar Pichai; Mary Barra,Reliance Industries,"Mumbai, India",1929-03-10,acquisition,Business
"The season opener in Madrid, Spain featured Serena Williams and NBA.",Serena Williams,NBA,"Madrid, Spain",1628-03-15,season opener,Sports
Tesla acquired Tesla in a deal valued at $450M.,Indra Nooyi,Tesla,"Frankfurt, Germany",1578-04-29,acquisition,Business
"Samsung opened a new office in Mumbai, India to expand manufacturing.",Indra Nooyi,Samsung,"Mumbai, India",1654-12-30,restructuring,Business
A study by Norman Borlaug showed benefits of irrigation technique adoption for soybeans.,Norman Borlaug,ICAR,"Iowa, USA",1653-10-09,irrigation technique adoption,Agriculture
A breakthrough in AI-driven sensors was reported by Apple.,Sundar Pichai,Apple,"Silicon Valley, USA",1922-12-15,5G networks,Technology
"George Washington Carver led trials of irrigation technique adoption in Nairobi, Kenya.",George Washington Carver,AgriTech Ltd,"Nairobi, Kenya",1501-10-14,irrigation technique adoption,Agriculture
NASA announced a climate study that impacts biology.,Isaac Newton,NASA,"Cambridge, UK",1632-04-10,climate study,Science
"Lionel Messi led NBA to victory at the final match in London, UK.",Lionel Messi,NBA,"London, UK",1500-02-14,final match,Sports
"Researchers at Max Planck Institute reported a particle discovery in Geneva, Switzerland.",Isaac Newton,Max Planck Institute,"Geneva, Switzerland",1654-06-05,particle discovery,Science
"Narendra Modi announced policy changes regarding education at Washington, USA.",Narendra Modi,Congress,"Washington, USA",1851-08-21,summit,Politics
acquisition led to restructuring at Tesla.,Mary Barra,Tesla,"Seoul, South Korea",1525-11-28,acquisition,Business
"Samsung opened a new office in Frankfurt, Germany to expand cloud services.",Tim Cook,Samsung,"Frankfurt, Germany",1887-07-25,merger,Business
A study on climate study led by Isaac Newton was published on 1683-02-14.,Isaac Newton,Harvard University,"Geneva, Switzerland",1683-02-14,climate study,Science
"The tournament in Melbourne, Australia featured M.S. Dhoni and FC Barcelona.",M.S. Dhoni,FC Barcelona,"Melbourne, Australia",1932-04-23,tournament,Sports
"M.S. Dhoni led Team India to victory at the season opener in Madrid, Spain.",M.S. Dhoni,Team India,"Madrid, Spain",1662-05-23,season opener,Sports
"Marissa Mayer led the launch of a AI-driven sensors in Shenzhen, China.",Marissa Mayer,IBM,"Shenzhen, China",1771-05-04,AI-driven sensors,Technology
Rosalind Franklin published findings on particle discovery at Harvard University.,Rosalind Franklin,Harvard University,"Cambridge, UK",1611-02-17,particle discovery,Science
restructuring led to restructuring at Siemens.,Tim Cook,Siemens,"Frankfurt, Germany",1710-05-25,restructuring,Business
"A famous installation by Ludwig van Beethoven is housed in Tate Modern in New York, USA.",Ludwig van Beethoven,Tate Modern,"New York, USA",1558-01-27,installation,Arts
"The final match in London, UK featured M.S. Dhoni and Team India.",M.S. Dhoni,Team India,"London, UK",1576-02-22,final match,Sports
Team India announced a new season opener for 2022-2023.,Lionel Messi,Team India,"Melbourne, Australia",1772-04-16,season opener,Sports
"Researchers at Harvard University reported a field research in Cambridge, UK.",Rosalind Franklin,Harvard University,"Cambridge, UK",1545-08-21,field research,Science
"Records show uprising happened in Versailles, France around 1717-08-11.",Winston Churchill,Allied Powers,"Versailles, France",1717-08-11,uprising,History
"Elon Musk led the launch of a quantum computing in London, UK.",Elon Musk,SpaceX,"London, UK",1559-07-27,quantum computing,Technology
"Researchers at NASA reported a particle discovery in Cambridge, UK.",Marie Curie,NASA; Max Planck Institute,"Cambridge, UK",1707-05-19,particle discovery,Science
"Sundar Pichai led the launch of a 5G networks in Silicon Valley, USA.",Sundar Pichai,IBM,"Silicon Valley, USA",1568-10-29,5G networks,Technology
Sundar Pichai became CEO of Reliance Industries following the IPO.,Sundar Pichai,Reliance Industries; Goldman Sachs,"Seoul, South Korea",1915-09-13,IPO,Business
"The battle marked a turning point in Versailles, France's history.",Julius Caesar,British Empire,"Versailles, France",1861-11-04,battle,History
Queen Elizabeth I was a key figure in the expedition.,Queen Elizabeth I,Roman Senate,"Versailles, France",2024-10-29,expedition,History
"A policy announcement was passed by Parliament impacting Washington, USA.",Narendra Modi,Parliament,"Washington, USA",1636-09-18,policy announcement,Politics
A breakthrough in quantum computing was reported by IBM.,Satya Nadella,IBM,"Stockholm, Sweden",1774-08-14,robotics,Technology
Harvard University announced a climate study that impacts biology.,Marie Curie,Harvard University,"Geneva, Switzerland",1858-09-04,climate study,Science
acquisition led to restructuring at Samsung.,Sundar Pichai,Samsung,"New York, USA",1959-07-11,acquisition,Business
"Sundar Pichai led the launch of a robotics in Shenzhen, China.",Sundar Pichai,Apple,"Shenzhen, China",1856-11-09,robotics,Technology
"Records show battle happened in Delhi, India around 1750-10-07.",Nelson Mandela,Allied Powers,"Delhi, India",1750-10-07,battle,History
"Researchers at Harvard University reported a gene sequencing in Cape Town, South Africa.",Albert Einstein,Harvard University,"Cape Town, South Africa",1739-12-25,gene sequencing,Science
"Researchers at Harvard University reported a field research in Cape Town, South Africa.",Isaac Newton,Harvard University,"Cape Town, South Africa",1930-08-19,field research,Science
"Records show Treaty signing happened in Constantinople, Turkey around 1622-01-17.",Julius Caesar,Ottoman Empire,"Constantinople, Turkey",1622-01-17,Treaty signing,History
"Siemens opened a new office in Frankfurt, Germany to expand consumer electronics.",Sundar Pichai,Siemens,"Frankfurt, Germany",1833-01-16,IPO,Business
"Barack Obama met leaders from Congress in Washington, USA to discuss bill passage.",Barack Obama,Congress,"Washington, USA",1651-09-17,bill passage,Politics
Mary Barra became CEO of Siemens following the merger.,Mary Barra,Siemens,"Frankfurt, Germany",1538-06-29,merger,Business
Team India announced a new season opener for 2023-2024.,M.S. Dhoni,Team India,"Melbourne, Australia",1640-02-17,season opener,Sports
Ludwig van Beethoven exhibited a new exhibition at Sydney Opera House.,Ludwig van Beethoven,Sydney Opera House,"Paris, France",1837-03-04,exhibition,Arts
"Barack Obama announced policy changes regarding climate at Washington, USA.",Barack Obama,European Union,"Washington, USA",1838-08-30,summit,Politics
"A famous exhibition by Vincent van Gogh is housed in Louvre Museum in Vienna, Austria.",Vincent van Gogh; Beyoncé,Louvre Museum; Metropolitan Opera,"Vienna, Austria",1509-08-04,exhibition,Arts
Mary Barra became CEO of Reliance Industries following the acquisition.,Mary Barra,Reliance Industries,"Frankfurt, Germany",1591-05-12,acquisition,Business
"Researchers at NASA reported a particle discovery in Geneva, Switzerland.",Isaac Newton,NASA,"Geneva, Switzerland",1976-05-11,particle discovery,Science
A study by Norman Borlaug showed benefits of yield improvement study for rice.,Norman Borlaug,FAO,"Iowa, USA",1577-02-21,yield improvement study,Agriculture
merger led to restructuring at Goldman Sachs.,Sundar Pichai; Tim Cook,Goldman Sachs,"Frankfurt, Germany",1555-06-28,merger,Business
"Researchers at Harvard University reported a particle discovery in Geneva, Switzerland.",Marie Curie,Harvard University,"Geneva, Switzerland",1552-03-29,particle discovery,Science
"Tesla opened a new office in New York, USA to expand manufacturing.",Jamie Dimon,Tesla,"New York, USA",1736-02-13,restructuring,Business
Pablo Picasso exhibited a new painting at Tate Modern.,Pablo Picasso,Tate Modern,"Madrid, Spain",1878-02-21,painting,Arts
Reliance Industries acquired Reliance Industries in a deal valued at $1.2B.,Mary Barra,Reliance Industries,"Frankfurt, Germany",1887-06-24,acquisition,Business
Pablo Picasso exhibited a new painting at Metropolitan Opera.,Pablo Picasso,Metropolitan Opera,"New York, USA",1544-06-27,painting,Arts
"Ludwig van Beethoven premiered a exhibition at Madrid, Spain.",Ludwig van Beethoven,Royal Academy,"Madrid, Spain",1770-03-04,exhibition,Arts
"The expedition marked a turning point in Berlin, Germany's history.",Cleopatra,Mughal Empire,"Berlin, Germany",1766-06-14,expedition,History
Marissa Mayer announced a new quantum computing at Intel.,Marissa Mayer; Elon Musk,Intel,"London, UK",1559-11-10,quantum computing,Technology
Jamie Dimon became CEO of Siemens following the acquisition.,Jamie Dimon,Siemens,"Frankfurt, Germany",1881-01-20,acquisition,Business
Max Planck Institute announced a climate study that impacts biology.,Rosalind Franklin,Max Planck Institute,"Cambridge, UK",1505-10-12,climate study,Science
"The uprising marked a turning point in Delhi, India's history.",Queen Elizabeth I; Nelson Mandela,Allied Powers,"Delhi, India",1829-06-19,uprising,History
"Louvre Museum announced restoration of the painting in Paris, France.",Frida Kahlo; Beyoncé,Louvre Museum,"Paris, France",1865-07-03,painting,Arts
Isaac Newton published findings on field research at NASA.,Isaac Newton,NASA,"Geneva, Switzerland",1834-06-04,field research,Science
"Lionel Messi led Wimbledon to victory at the final match in London, UK.",Lionel Messi,Wimbledon,"London, UK",1882-06-28,final match,Sports
Wimbledon announced a new season opener for 2023-2024.,Cristiano Ronaldo,Wimbledon,"Madrid, Spain",1501-01-11,season opener,Sports
"Records show coronation happened in Versailles, France around 1515-11-09.",Winston Churchill; Cleopatra,Ottoman Empire,"Versailles, France",1515-11-09,coronation,History
IBM released a AI-driven sensors that improves AI-driven sensors.,Marissa Mayer; Elon Musk,IBM,"Silicon Valley, USA",1786-10-31,AI-driven sensors,Technology
"The coronation took place in Constantinople, Turkey and involved British Empire.",Mahatma Gandhi,British Empire,"Constantinople, Turkey",1845-07-15,coronation,History
"Farmers in Nairobi, Kenya adopted irrigation technique adoption developed by International Rice Research Institute.",George Washington Carver,International Rice Research Institute,"Nairobi, Kenya",2019-08-26,irrigation technique adoption,Agriculture
"Louvre Museum announced restoration of the symphony in Paris, France.",Frida Kahlo,Louvre Museum,"Paris, France",1897-09-21,symphony,Arts
"Tim Berners-Lee led the launch of a robotics in Bengaluru, India.",Tim Berners-Lee,Google,"Bengaluru, India",1774-09-23,robotics,Technology
"Serena Williams led Wimbledon to victory at the final match in Melbourne, Australia.",Serena Williams,Wimbledon,"Melbourne, Australia",1698-09-15,final match,Sports
A study on particle discovery led by Marie Curie was published on 1912-08-20.,Marie Curie,Max Planck Institute,"Cape Town, South Africa",1912-08-20,particle discovery,Science
Albert Einstein published findings on particle discovery at CERN.,Albert Einstein,CERN,"Geneva, Switzerland",1818-09-09,particle discovery,Science
"M. S. Swaminathan led trials of yield improvement study in Iowa, USA.",M. S. Swaminathan,AgriTech Ltd,"Iowa, USA",1885-07-22,yield improvement study,Agriculture
IPO led to restructuring at Samsung.,Jamie Dimon,Samsung,"Seoul, South Korea",1630-07-10,IPO,Business
A study on climate study led by Isaac Newton was published on 1537-01-31.,Isaac Newton,Harvard University,"Cape Town, South Africa",1537-01-31,climate study,Science
"Narendra Modi met leaders from Parliament in Washington, USA to discuss policy announcement.",Narendra Modi; Kamala Harris,Parliament; European Union,"Washington, USA",1971-02-02,policy announcement,Politics
"Farmers in Nairobi, Kenya adopted pest control trial developed by ICAR.",Wangari Maathai,ICAR,"Nairobi, Kenya",1969-06-11,pest control trial,Agriculture
"Grace Hopper led the launch of a robotics in Silicon Valley, USA.",Grace Hopper; Marissa Mayer,IBM,"Silicon Valley, USA",1509-03-15,robotics,Technology
Leonardo da Vinci exhibited a new exhibition at Royal Academy.,Leonardo da Vinci,Royal Academy,"Paris, France",1744-01-03,exhibition,Arts
Albert Einstein published findings on particle discovery at CERN.,Albert Einstein; Marie Curie,CERN,"Geneva, Switzerland",1730-08-15,particle discovery,Science
Marie Curie published findings on field research at Harvard University.,Marie Curie,Harvard University,"Cambridge, UK",1986-10-15,field research,Science
"ICAR introduced a pest control trial to improve yields in Nairobi, Kenya.",Rachel Carson,ICAR,"Nairobi, Kenya",1776-07-25,pest control trial,Agriculture
Mahatma Gandhi was a key figure in the coronation.,Mahatma Gandhi,Roman Senate,"Versailles, France",1628-12-30,coronation,History
"The battle marked a turning point in Berlin, Germany's history.",Winston Churchill,Mughal Empire,"Berlin, Germany",1543-04-14,battle,History
"Records show uprising happened in Delhi, India around 1577-11-19.",Nelson Mandela,Mughal Empire,"Delhi, India",1577-11-19,uprising,History
"Cristiano Ronaldo led NBA to victory at the final match in Melbourne, Australia.",Cristiano Ronaldo,NBA,"Melbourne, Australia",1589-02-12,final match,Sports
"The tournament in Madrid, Spain featured Serena Williams and NBA.",Serena Williams,NBA,"Madrid, Spain",1761-06-14,tournament,Sports
"Royal Academy announced restoration of the symphony in Vienna, Austria.",Beyoncé,Royal Academy,"Vienna, Austria",1774-05-22,symphony,Arts
"Reliance Industries opened a new office in Seoul, South Korea to expand financial services.",Jamie Dimon,Reliance Industries,"Seoul, South Korea",1832-02-12,merger,Business
Elon Musk announced a new robotics at Intel.,Elon Musk,Intel,"Silicon Valley, USA",1588-03-17,robotics,Technology
"Cristiano Ronaldo led NBA to victory at the final match in London, UK.",Cristiano Ronaldo; M.S. Dhoni,NBA,"London, UK",2010-10-25,final match,Sports
"The tournament in Madrid, Spain featured Cristiano Ronaldo and NBA.",Cristiano Ronaldo,NBA,"Madrid, Spain",1864-09-18,tournament,Sports
"Ada Lovelace led the launch of a 5G networks in Bengaluru, India.",Ada Lovelace,Intel,"Bengaluru, India",1546-06-10,5G networks,Technology
"A bill passage was passed by Congress impacting Geneva, Switzerland.",Narendra Modi,Congress; European Union,"Geneva, Switzerland",2019-03-27,bill passage,Politics
"A summit was passed by United Nations impacting Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1640-04-14,summit,Politics
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson,FAO,"Punjab, India",1817-12-04,irrigation technique adoption,Agriculture
"A famous exhibition by Frida Kahlo is housed in Metropolitan Opera in New York, USA.",Frida Kahlo; Leonardo da Vinci,Metropolitan Opera,"New York, USA",1779-08-08,exhibition,Arts
A breakthrough in edge computing was reported by OpenAI.,Ada Lovelace,OpenAI; Google,"Stockholm, Sweden",1727-01-28,edge computing,Technology
A study by M. S. Swaminathan showed benefits of yield improvement study for wheat.,M. S. Swaminathan,AgriTech Ltd; ICAR,"Lima, Peru",1778-06-18,yield improvement study,Agriculture
Jamie Dimon became CEO of Reliance Industries following the IPO.,Jamie Dimon,Reliance Industries,"Mumbai, India",1586-03-10,IPO,Business
A breakthrough in robotics was reported by SpaceX.,Tim Berners-Lee,SpaceX,"Silicon Valley, USA",1716-07-29,quantum computing,Technology
"Narendra Modi announced policy changes regarding healthcare at New Delhi, India.",Narendra Modi,Congress,"New Delhi, India",1760-05-14,policy announcement,Politics
"A bill passage was passed by Parliament impacting New Delhi, India.",Barack Obama,Parliament,"New Delhi, India",1548-06-11,bill passage,Politics
A study by Norman Borlaug showed benefits of yield improvement study for soybeans.,Norman Borlaug,CIMMYT,"Punjab, India",1614-01-17,yield improvement study,Agriculture
"The tournament in Madrid, Spain featured Serena Williams and Team India.",Serena Williams; M.S. Dhoni,Team India,"Madrid, Spain",1898-11-09,tournament,Sports
Leonardo da Vinci exhibited a new painting at Sydney Opera House.,Leonardo da Vinci,Sydney Opera House,"Madrid, Spain",1668-05-12,painting,Arts
A study by Norman Borlaug showed benefits of irrigation technique adoption for maize.,Norman Borlaug,FAO,"Lima, Peru",1726-10-12,irrigation technique adoption,Agriculture
restructuring led to restructuring at Samsung.,Mary Barra,Samsung,"Frankfurt, Germany",1998-03-25,restructuring,Business
A breakthrough in robotics was reported by Microsoft.,Elon Musk; Satya Nadella,Microsoft,"Silicon Valley, USA",1792-12-05,5G networks,Technology
"Siemens opened a new office in Seoul, South Korea to expand financial services.",Tim Cook,Siemens,"Seoul, South Korea",1711-06-11,restructuring,Business
A study by Norman Borlaug showed benefits of irrigation technique adoption for wheat.,Norman Borlaug,ICAR; International Rice Research Institute,"Nairobi, Kenya",1672-01-29,irrigation technique adoption,Agriculture
Team India announced a new tournament for 2022-2023.,M.S. Dhoni,Team India,"London, UK",1561-02-02,tournament,Sports
"Barack Obama met leaders from European Union in Geneva, Switzerland to discuss policy announcement.",Barack Obama,European Union,"Geneva, Switzerland",1528-06-19,policy announcement,Politics
"The battle marked a turning point in Rome, Italy's history.",Nelson Mandela,Ottoman Empire,"Rome, Italy",1727-02-06,battle,History
"A bill passage was passed by Parliament impacting Geneva, Switzerland.",Angela Merkel,Parliament,"Geneva, Switzerland",1947-01-11,bill passage,Politics
"A bill passage was passed by Congress impacting New Delhi, India.",Kamala Harris,Congress,"New Delhi, India",1923-12-20,bill passage,Politics
"Cristiano Ronaldo led Team India to victory at the tournament in Madrid, Spain.",Cristiano Ronaldo,Team India,"Madrid, Spain",1748-01-09,tournament,Sports
"The uprising took place in Rome, Italy and involved Roman Senate.",Queen Elizabeth I,Roman Senate,"Rome, Italy",1964-04-17,uprising,History
NBA announced a new final match for 2022-2023.,M.S. Dhoni,NBA,"London, UK",1980-02-04,final match,Sports
"The coronation took place in Delhi, India and involved Roman Senate.",Nelson Mandela,Roman Senate; Allied Powers,"Delhi, India",1913-10-07,coronation,History
"M.S. Dhoni led NBA to victory at the season opener in Melbourne, Australia.",M.S. Dhoni,NBA,"Melbourne, Australia",1699-06-29,season opener,Sports
Marie Curie published findings on climate study at Harvard University.,Marie Curie,Harvard University,"Cambridge, UK",1706-07-21,climate study,Science
"Rachel Carson led trials of irrigation technique adoption in Punjab, India.",Rachel Carson,AgriTech Ltd; CIMMYT,"Punjab, India",1854-01-13,irrigation technique adoption,Agriculture
A study on gene sequencing led by Albert Einstein was published on 1960-05-22.,Albert Einstein,Harvard University,"Cambridge, UK",1960-05-22,gene sequencing,Science
Vincent van Gogh exhibited a new opera at Louvre Museum.,Vincent van Gogh,Louvre Museum,"New York, USA",1591-05-28,opera,Arts
"Kamala Harris announced policy changes regarding education at Washington, USA.",Kamala Harris,United Nations,"Washington, USA",1653-03-04,policy announcement,Politics
"The final match in Melbourne, Australia featured Serena Williams and Team India.",Serena Williams,Team India,"Melbourne, Australia",1600-01-03,final match,Sports
Siemens acquired Tesla in a deal valued at $15M.,Mary Barra,Siemens; Goldman Sachs,"New York, USA",1939-06-27,acquisition,Business
IBM released a AI-driven sensors that improves quantum computing.,Ada Lovelace; Satya Nadella,IBM,"Bengaluru, India",1756-02-15,AI-driven sensors,Technology
"Metropolitan Opera announced restoration of the symphony in New York, USA.",Frida Kahlo,Metropolitan Opera,"New York, USA",1820-06-30,symphony,Arts
Sundar Pichai became CEO of Goldman Sachs following the acquisition.,Sundar Pichai,Goldman Sachs; Tesla,"New York, USA",1753-07-27,acquisition,Business
Leonardo da Vinci exhibited a new installation at Sydney Opera House.,Leonardo da Vinci,Sydney Opera House; Tate Modern,"New York, USA",1705-02-07,installation,Arts
"Serena Williams led Team India to victory at the tournament in Madrid, Spain.",Serena Williams,Team India; FC Barcelona,"Madrid, Spain",1507-08-25,tournament,Sports
"Rachel Carson led trials of yield improvement study in Nairobi, Kenya.",Rachel Carson,CIMMYT,"Nairobi, Kenya",2020-06-10,yield improvement study,Agriculture
"The Treaty signing took place in Constantinople, Turkey and involved Mughal Empire.",Nelson Mandela,Mughal Empire,"Constantinople, Turkey",1609-01-25,Treaty signing,History
OpenAI released a 5G networks that improves robotics.,Tim Berners-Lee,OpenAI,"Bengaluru, India",1808-06-08,5G networks,Technology
"Farmers in Iowa, USA adopted pest control trial developed by ICAR.",George Washington Carver,ICAR,"Iowa, USA",1537-03-03,pest control trial,Agriculture
Marie Curie published findings on gene sequencing at CERN.,Marie Curie,CERN,"Cape Town, South Africa",1866-09-23,gene sequencing,Science
Harvard University announced a climate study that impacts climatology.,Isaac Newton,Harvard University,"Cambridge, UK",1599-10-06,climate study,Science
Vincent van Gogh exhibited a new installation at Sydney Opera House.,Vincent van Gogh,Sydney Opera House,"Madrid, Spain",1677-02-01,installation,Arts
"A famous exhibition by Beyoncé is housed in Sydney Opera House in Paris, France.",Beyoncé,Sydney Opera House,"Paris, France",1729-06-05,exhibition,Arts
"International Rice Research Institute introduced a irrigation technique adoption to improve yields in Punjab, India.",Norman Borlaug,International Rice Research Institute,"Punjab, India",1572-10-25,irrigation technique adoption,Agriculture
"Leonardo da Vinci premiered a exhibition at New York, USA.",Leonardo da Vinci,Royal Academy,"New York, USA",1600-12-05,exhibition,Arts
NBA announced a new final match for 2022-2023.,Lionel Messi,NBA,"Melbourne, Australia",1923-01-24,final match,Sports
Beyoncé exhibited a new symphony at Sydney Opera House.,Beyoncé,Sydney Opera House,"Paris, France",1663-01-02,symphony,Arts
Marie Curie published findings on particle discovery at NASA.,Marie Curie,NASA,"Cambridge, UK",1915-10-03,particle discovery,Science
"Frida Kahlo premiered a symphony at Madrid, Spain.",Frida Kahlo; Ludwig van Beethoven,Tate Modern; Royal Academy,"Madrid, Spain",1528-05-19,symphony,Arts
"A famous painting by Vincent van Gogh is housed in Louvre Museum in Madrid, Spain.",Vincent van Gogh,Louvre Museum; Sydney Opera House,"Madrid, Spain",1668-11-23,painting,Arts
"Farmers in Punjab, India adopted irrigation technique adoption developed by AgriTech Ltd.",Norman Borlaug,AgriTech Ltd,"Punjab, India",1766-06-22,irrigation technique adoption,Agriculture
A breakthrough in edge computing was reported by Apple.,Sundar Pichai,Apple,"Stockholm, Sweden",1639-08-11,AI-driven sensors,Technology
A study by Wangari Maathai showed benefits of irrigation technique adoption for maize.,Wangari Maathai,CIMMYT,"Punjab, India",1702-12-30,irrigation technique adoption,Agriculture
"The expedition took place in Rome, Italy and involved Mughal Empire.",Mahatma Gandhi,Mughal Empire,"Rome, Italy",1646-09-15,expedition,History
A study by Wangari Maathai showed benefits of irrigation technique adoption for wheat.,Wangari Maathai,CIMMYT,"Nairobi, Kenya",1823-02-26,irrigation technique adoption,Agriculture
Indra Nooyi became CEO of Reliance Industries following the restructuring.,Indra Nooyi; Jamie Dimon,Reliance Industries,"Frankfurt, Germany",1979-03-19,restructuring,Business
"Norman Borlaug led trials of pest control trial in Nairobi, Kenya.",Norman Borlaug,CIMMYT,"Nairobi, Kenya",1769-02-15,pest control trial,Agriculture
"Angela Merkel met leaders from United Nations in Washington, USA to discuss summit.",Angela Merkel; Narendra Modi,United Nations,"Washington, USA",1527-10-08,summit,Politics
"Records show coronation happened in Berlin, Germany around 1987-01-02.",Nelson Mandela,Roman Senate; British Empire,"Berlin, Germany",1987-01-02,coronation,History
"Serena Williams led Team India to victory at the final match in Melbourne, Australia.",Serena Williams,Team India,"Melbourne, Australia",1892-12-24,final match,Sports
"The uprising marked a turning point in Berlin, Germany's history.",Cleopatra,Ottoman Empire,"Berlin, Germany",1531-09-22,uprising,History
A study by Wangari Maathai showed benefits of irrigation technique adoption for soybeans.,Wangari Maathai,CIMMYT,"Lima, Peru",1588-12-23,irrigation technique adoption,Agriculture
Albert Einstein published findings on field research at CERN.,Albert Einstein,CERN,"Cape Town, South Africa",1999-06-08,field research,Science
"The final match in London, UK featured Lionel Messi and Team India.",Lionel Messi,Team India,"London, UK",1915-04-06,final match,Sports
Cleopatra was a key figure in the uprising.,Cleopatra,British Empire,"Versailles, France",1960-04-15,uprising,History
"The tournament in London, UK featured M.S. Dhoni and FC Barcelona.",M.S. Dhoni,FC Barcelona,"London, UK",1642-04-01,tournament,Sports
